Borrar;Actividad;PIA;PIM;CERTIFICADO;COMPROMISO ANUAL;COMPROMISO MENSUAL;DEVENGADO;GIRADO;AVANCE %;año;nivel;nivel Nombre;sector;sector Nombre;pliego;pliego Nombre;sec_ejec;unidad ejecutora;dnpp;Actividad/Proyecto;ruc;Tipo de Inversión
;2001621: ESTUDIOS DE PRE-INVERSION;202990106;121867356;19838298;11630451;11630451;1230000;1230000;1;2022;E;GOBIERNO NACIONAL;36;TRANSPORTES Y COMUNICACIONES;036;MINISTERIO DE TRANSPORTES Y COMUNICACIONES;1072;MINISTERIO DE TRANSPORTES Y COMUNICACIONES-ADMINISTRACION GENERAL;2001621;ESTUDIOS DE PRE-INVERSION;20131379944;PRE INVERSION
;2027620: CONCESIONES VIALES;0;32042268;20815993;2092494;2052459;1920680;179376;6;2022;E;GOBIERNO NACIONAL;36;TRANSPORTES Y COMUNICACIONES;036;MINISTERIO DE TRANSPORTES Y COMUNICACIONES;1072;MINISTERIO DE TRANSPORTES Y COMUNICACIONES-ADMINISTRACION GENERAL;2027620;CONCESIONES VIALES;20131379944;
;2042345: REHABILITACION DEL TERMINAL PORTUARIO DE PUCALLPA;0;1254720;33379;33379;33379;33379;33379;2.7;2022;E;GOBIERNO NACIONAL;36;TRANSPORTES Y COMUNICACIONES;036;MINISTERIO DE TRANSPORTES Y COMUNICACIONES;1072;MINISTERIO DE TRANSPORTES Y COMUNICACIONES-ADMINISTRACION GENERAL;2042345;REHABILITACION DEL TERMINAL PORTUARIO DE PUCALLPA;20131379944;
;2044721: CONCESIONES AEROPORTUARIAS;143849187;184665418;176949021;145647120;145527222;143903316;143421018;77.9;2022;E;GOBIERNO NACIONAL;36;TRANSPORTES Y COMUNICACIONES;036;MINISTERIO DE TRANSPORTES Y COMUNICACIONES;1072;MINISTERIO DE TRANSPORTES Y COMUNICACIONES-ADMINISTRACION GENERAL;2044721;CONCESIONES AEROPORTUARIAS;20131379944;
;2045273: CONCESIONES PORTUARIAS;34062309;11786888;11626967;5489408;5469155;5469155;5469155;46.4;2022;E;GOBIERNO NACIONAL;36;TRANSPORTES Y COMUNICACIONES;036;MINISTERIO DE TRANSPORTES Y COMUNICACIONES;1072;MINISTERIO DE TRANSPORTES Y COMUNICACIONES-ADMINISTRACION GENERAL;2045273;CONCESIONES PORTUARIAS;20131379944;
;2115072: CONCESIONES FERROVIARIAS;320482080;320482080;320482080;253352350;253020631;253020631;253020631;79;2022;E;GOBIERNO NACIONAL;36;TRANSPORTES Y COMUNICACIONES;036;MINISTERIO DE TRANSPORTES Y COMUNICACIONES;1072;MINISTERIO DE TRANSPORTES Y COMUNICACIONES-ADMINISTRACION GENERAL;2115072;CONCESIONES FERROVIARIAS;20131379944;
;2173121: REHABILITACION Y MEJORAMIENTO DE LA CARRETERA PE-3N LONGITUDINAL DE LA SIERRA NORTE, TRAMO COCHABAMBA-CUTERVO-SANTO DOMINGO DE LA CAPILLA-CHIPLE;0;56316756;133895;102148;88074;25179;25179;0;2022;E;GOBIERNO NACIONAL;36;TRANSPORTES Y COMUNICACIONES;036;MINISTERIO DE TRANSPORTES Y COMUNICACIONES;1072;MINISTERIO DE TRANSPORTES Y COMUNICACIONES-ADMINISTRACION GENERAL;2173121;REHABILITACION Y MEJORAMIENTO DE LA CARRETERA PE-3N LONGITUDINAL DE LA SIERRA NORTE, TRAMO COCHABAMBA-CUTERVO-SANTO DOMINGO DE LA CAPILLA-CHIPLE;20131379944;
;2188921: CONCESIONES EN TELECOMUNICACIONES;98323929;98323929;98323929;56808513;55308237;55308237;55308237;56.3;2022;E;GOBIERNO NACIONAL;36;TRANSPORTES Y COMUNICACIONES;036;MINISTERIO DE TRANSPORTES Y COMUNICACIONES;1072;MINISTERIO DE TRANSPORTES Y COMUNICACIONES-ADMINISTRACION GENERAL;2188921;CONCESIONES EN TELECOMUNICACIONES;20131379944;
;2190272: MEJORAMIENTO Y AMPLIACION DEL SERVICIO AEROPORTUARIO EN LA REGION CUSCO MEDIANTE EL NUEVO AEROPUERTO INTERNACIONAL DE CHINCHERO - CUSCO;373315238;377488627;372914438;369934234;169759234;169289858;166104011;44.8;2022;E;GOBIERNO NACIONAL;36;TRANSPORTES Y COMUNICACIONES;036;MINISTERIO DE TRANSPORTES Y COMUNICACIONES;1072;MINISTERIO DE TRANSPORTES Y COMUNICACIONES-ADMINISTRACION GENERAL;2190272;MEJORAMIENTO Y AMPLIACION DEL SERVICIO AEROPORTUARIO EN LA REGION CUSCO MEDIANTE EL NUEVO AEROPUERTO INTERNACIONAL DE CHINCHERO - CUSCO;20131379944;
;2233842: CONSTRUCCION DE LA AUTOPISTA PUNO - JULIACA;0;35835928;33369741;80506;72426;26920;26920;0.1;2022;E;GOBIERNO NACIONAL;36;TRANSPORTES Y COMUNICACIONES;036;MINISTERIO DE TRANSPORTES Y COMUNICACIONES;1072;MINISTERIO DE TRANSPORTES Y COMUNICACIONES-ADMINISTRACION GENERAL;2233842;CONSTRUCCION DE LA AUTOPISTA PUNO - JULIACA;20131379944;
